"NIH Spending Categorization","Project Terms","Project Title","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","DUNS Number","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available"," ","Impact of WTC dust on immune functions and prostate cancer promotion","NIOSH","9340142","5/1/2017 12:00:00 AM","PAR-16-098","5U01OH011328-02","5","U01","OH","011328","02"," ","KUBALE, TRAVIS","9/1/2016 12:00:00 AM","8/31/2021 12:00:00 AM","ZOH1-NXT(52)"," ","1967818","AARONSON, STUART A","Not Applicable","13","INTERNAL MEDICINE/MEDICINE","078861598","US","40.790525","-73.953788","3839801","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","NEW YORK","NY","SCHOOLS OF MEDICINE","100296574","UNITED STATES","N","9/1/2017 12:00:00 AM","8/31/2018 12:00:00 AM","262","Non-SBIR/STTR","2017","600000"," ","NIOSH","353982","246018"," ","600000",
"No NIH Category available"," ","Impact of WTC dust on immune functions and prostate cancer promotion","NIOSH","9701883","6/3/2019 12:00:00 AM","PAR-16-098","5U01OH011328-04","5","U01","OH","011328","04"," "," ","9/1/2016 12:00:00 AM","8/31/2021 12:00:00 AM","ZOH1-NXT(52)"," ","1967818","AARONSON, STUART A","Not Applicable","13","INTERNAL MEDICINE/MEDICINE","078861598","US","40.790525","-73.953788","3839801","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","NEW YORK","NY","SCHOOLS OF MEDICINE","100296574","UNITED STATES","N","9/1/2019 12:00:00 AM","8/31/2020 12:00:00 AM","262","Non-SBIR/STTR","2019","599999"," ","NIOSH"," "," "," ","599999",
"No NIH Category available"," ","Impact of WTC dust on immune functions and prostate cancer promotion","NIOSH","9948528","5/20/2020 12:00:00 AM","PAR-16-098","5U01OH011328-05","5","U01","OH","011328","05"," ","YIIN, JAMES","9/1/2016 12:00:00 AM","8/31/2021 12:00:00 AM","ZOH1-NXT(52)"," ","1967818","AARONSON, STUART A","Not Applicable","13","INTERNAL MEDICINE/MEDICINE","078861598","US","40.790525","-73.953788","3839801","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","NEW YORK","NY","SCHOOLS OF MEDICINE","100296574","UNITED STATES","N","9/1/2020 12:00:00 AM","8/31/2021 12:00:00 AM","262","Non-SBIR/STTR","2020","600000"," ","NIOSH"," "," "," ","600000",
"No NIH Category available"," ","Impact of WTC dust on immune functions and prostate cancer promotion","NIOSH","9264794","8/30/2016 12:00:00 AM","PAR-16-098","1U01OH011328-01","1","U01","OH","011328","01"," ","KUBALE, TRAVIS","9/1/2016 12:00:00 AM","8/31/2021 12:00:00 AM","ZOH1-NXT(52)"," ","1967818","AARONSON, STUART A","Not Applicable","13","INTERNAL MEDICINE/MEDICINE","078861598","US","40.790525","-73.953788","3839801","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","NEW YORK","NY","SCHOOLS OF MEDICINE","100296574","UNITED STATES","N","9/1/2016 12:00:00 AM","8/31/2017 12:00:00 AM","262","Non-SBIR/STTR","2016","600000"," ","NIOSH","353982","246018"," ","600000",
"No NIH Category available"," ","Impact of WTC dust on immune functions and prostate cancer promotion","NIOSH","9479622","5/21/2018 12:00:00 AM","PAR-16-098","5U01OH011328-03","5","U01","OH","011328","03"," "," ","9/1/2016 12:00:00 AM","8/31/2021 12:00:00 AM","ZOH1-NXT(52)"," ","1967818","AARONSON, STUART A","Not Applicable","13","INTERNAL MEDICINE/MEDICINE","078861598","US","40.790525","-73.953788","3839801","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","NEW YORK","NY","SCHOOLS OF MEDICINE","100296574","UNITED STATES","N","9/1/2018 12:00:00 AM","8/31/2019 12:00:00 AM","262","Non-SBIR/STTR","2018","600000"," "," "," "," "," "," ",
"No NIH Category available"," ","Refinement of an Insert Hearing Protector Evaluation System Based on the NIOSH Qu","NIOSH","8452774","9/18/2013 12:00:00 AM","PA-12-088","1R43OH010380-01","1","R43","OH","010380","01"," ","INSERRA, STEVE","9/1/2013 12:00:00 AM","8/31/2014 12:00:00 AM","Special Emphasis Panel[ZRG1-ETTN-G(12)B]"," ","11111724","ABBOTT, MICHAEL ","Not Applicable","09","Unavailable","083704069","US","37.200797","-80.409001","3805901","ADAPTIVE TECHNOLOGIES, INC.","BLACKSBURG","VA","Domestic For-Profits","240606568","UNITED STATES","N","9/1/2013 12:00:00 AM","8/31/2014 12:00:00 AM","262","SBIR/STTR","2013","99663"," ","ODCDC"," "," "," ","99663",
"No NIH Category available"," ","Liquid Crystal-Based End-of-Service-Life-Indicator for Toluene Vapor","NIOSH","8251572","9/9/2011 12:00:00 AM","PA-11-096","1R43OH010227-01","1","R43","OH","010227","01"," ","POTULA, VIJI","9/1/2011 12:00:00 AM","8/28/2012 12:00:00 AM","Special Emphasis Panel[ZRG1-IMST-A(12)B]"," ","8722605","ACHARYA, BHARAT R","Not Applicable","02","Unavailable","118040364","US","43.016511","-89.418316","4273301","PLATYPUS TECHNOLOGIES, LLC","MADISON","WI","Domestic For-Profits","537114910","UNITED STATES","N","9/1/2011 12:00:00 AM","8/28/2012 12:00:00 AM","262","SBIR/STTR","2011","169943"," ","ODCDC"," "," "," ","169943",
"No NIH Category available"," ","Assessing Cardiovascular Effect of Wildland Fire Smoke Exposure Using Lipid Biomarkers, Vascular Function, Hemodynamics, and Atherosclerotic Progression","NIOSH","9895328","7/22/2020 12:00:00 AM","PAR-18-798","1R21OH011271-01A1","1","R21","OH","011271","01","A","KARR, JOAN","8/1/2020 12:00:00 AM","7/31/2022 12:00:00 AM","SOH"," ","12234198","ADETONA, OLORUNFEMI ","Not Applicable","03","PUBLIC HEALTH & PREV MEDICINE","832127323","US","40.003166","-83.034278","6218701","OHIO STATE UNIVERSITY","COLUMBUS","OH","SCHOOLS OF PUBLIC HEALTH","432101016","UNITED STATES","N","8/1/2020 12:00:00 AM","7/31/2021 12:00:00 AM","262","Non-SBIR/STTR","2020","184354"," ","NIOSH"," "," "," ","184354",
"No NIH Category available"," ","The 2009 Conference of the International Society of Exposure Science (ISES)","NIOSH","7805247","8/31/2009 12:00:00 AM","PAR-08-072","1R13OH009749-01","1","R13","OH","009749","01"," ","SANDERSON, LEE M","9/1/2009 12:00:00 AM","8/31/2010 12:00:00 AM","SOH"," ","6648819","ADGATE, JOHN L.","Not Applicable","03","Unavailable","136950859","US","42.351503","-71.048515","10012925","INTERNATIONAL SOCIETY/ EXPOSURE ANALYSIS","Overland Park","KS","Other Domestic Non-Profits","66213","UNITED STATES","N","9/1/2009 12:00:00 AM","8/31/2010 12:00:00 AM","262","Other Research-Related","2009","10000"," ","NIOSH"," "," "," ","10000",
"No NIH Category available"," ","Bioaerosols in Midwest Greenhouses and Respiratory Symptoms Among the Workers","NIOSH","7642428","7/6/2009 12:00:00 AM","PAR-06-551","5R03OH009241-02","5","R03","OH","009241","02"," ","SANDERSON, LEE M","8/1/2008 12:00:00 AM","7/31/2010 12:00:00 AM","SOH"," ","6996354","ADHIKARI, ATIN ","Not Applicable","01","PUBLIC HEALTH & PREV MEDICINE","041064767","US","39.142998","-84.503581","1523902","UNIVERSITY OF CINCINNATI","CINCINNATI","OH","SCHOOLS OF MEDICINE","452210001","UNITED STATES","N","8/1/2009 12:00:00 AM","7/31/2010 12:00:00 AM","262","Non-SBIR/STTR","2009","83515"," ","NIOSH"," "," "," ","83515",
